date	hour	foreignExchangeBuy	foreignExchangeSale	moneyBuy	moneySale
2016-07-15	14:36	3.9846	4.2372	3.9608	4.2619	
2016-07-15	08:44	3.9846	4.2372	3.9608	4.2619	
2016-07-18	08:40	3.9941	4.2473	3.9702	4.272	
2016-07-18	12:18	3.9941	4.2473	3.9702	4.272	
2016-08-16	12:39	3.8648	4.1098	3.8416	4.1337	
2016-08-16	08:52	3.8648	4.1098	3.8416	4.1337	
2016-09-15	08:42	3.9055	4.1531	3.8822	4.1773	
2016-09-15	12:14	3.9055	4.1531	3.8822	4.1773	
2016-09-21	08:44	3.8813	4.1273	3.858	4.1513	
2016-09-21	12:06	3.8813	4.1273	3.858	4.1513	
2016-10-17	11:39	3.9131	4.1612	3.8897	4.1854	
2016-10-17	08:43	3.9131	4.1612	3.8897	4.1854	
2016-11-15	08:45	4.0459	4.3024	4.0217	4.3274	
2016-11-15	11:58	4.0459	4.3024	4.0217	4.3274	
2016-11-25	08:45	4.0576	4.3148	4.0333	4.3399	
2016-11-25	12:08	4.0576	4.3148	4.0333	4.3399	
2016-12-15	08:49	4.0752	4.3335	4.0508	4.3587	
2016-12-15	12:04	4.0752	4.3335	4.0508	4.3587	
2017-01-16	14:04	4.0262	4.2815	4.0021	4.3064	
2017-01-16	08:46	4.0262	4.2815	4.0021	4.3064	
2017-01-18	12:47	4.013	4.2674	3.989	4.2922	
2017-01-18	08:52	4.013	4.2674	3.989	4.2922	
2017-02-15	09:06	3.9859	4.2386	3.962	4.2632	
2017-02-15	11:58	3.9859	4.2386	3.962	4.2632	
2017-03-15	08:49	3.9764	4.2285	3.9526	4.2531	
2017-03-15	11:41	3.9764	4.2285	3.9526	4.2531	
2017-04-19	11:43	3.9038	4.1512	3.8804	4.1754	
2017-04-19	08:37	3.9038	4.1512	3.8804	4.1754	
2017-05-15	11:50	3.7948	4.0354	3.7721	4.0588	
2017-05-15	08:43	3.7948	4.0354	3.7721	4.0588	
2017-06-16	11:48	3.8349	4.078	3.812	4.1018	
2017-06-16	08:46	3.8349	4.078	3.812	4.1018	
2017-06-19	08:50	3.8038	4.0449	3.781	4.0685	
2017-06-19	11:41	3.8038	4.0449	3.781	4.0685	
2017-07-17	11:58	3.7525	3.9904	3.7301	4.0136	
2017-07-17	08:51	3.7525	3.9904	3.7301	4.0136	
2017-08-16	08:51	3.7099	3.9451	3.6877	3.968	
2017-08-16	11:40	3.7099	3.9451	3.6877	3.968	
2017-09-15	11:46	3.6738	3.9067	3.6518	3.9294	
2017-09-15	08:56	3.6738	3.9067	3.6518	3.9294	
2017-10-16	08:55	3.6415	3.8724	3.6198	3.8949	
2017-10-16	11:38	3.6415	3.8724	3.6198	3.8949	
2017-11-15	12:05	3.5917	3.8194	3.5702	3.8416	
2017-11-15	08:43	3.5917	3.8194	3.5702	3.8416	
2017-12-15	11:49	3.5721	3.7986	3.5507	3.8207	
2017-12-15	08:51	3.5721	3.7986	3.5507	3.8207	
2018-01-15	11:41	3.4828	3.7036	3.4619	3.7251	
2018-01-15	08:52	3.4828	3.7036	3.4619	3.7251	
2018-01-24	08:44	3.4964	3.7181	3.4755	3.7397	
2018-01-24	11:46	3.4964	3.7181	3.4755	3.7397	
2018-02-15	11:53	3.5462	3.7711	3.525	3.793	
2018-02-15	08:49	3.5462	3.7711	3.525	3.793	
2018-03-15	11:48	3.5437	3.7683	3.5225	3.7903	
2018-03-15	08:51	3.5437	3.7683	3.5225	3.7903	
2018-04-16	08:51	3.4569	3.676	3.4362	3.6974	
2018-04-16	11:39	3.4569	3.676	3.4362	3.6974	
2018-05-15	11:43	3.5315	3.7554	3.5104	3.7772	
2018-05-15	08:45	3.5315	3.7554	3.5104	3.7772	
2018-06-15	08:49	3.6617	3.8939	3.6398	3.9165	
2018-06-15	12:35	3.6617	3.8939	3.6398	3.9165	
2018-07-16	08:51	3.6293	3.8594	3.6076	3.8818	
2018-08-16	11:44	3.7591	3.9975	3.7366	4.0207	
2018-08-16	08:54	3.7591	3.9975	3.7366	4.0207	
2018-09-17	09:00	3.7771	4.0165	3.7545	4.0399	
2018-09-17	11:41	3.7771	4.0165	3.7545	4.0399	
2018-10-15	08:59	3.6893	3.9232	3.6672	3.946	
2018-10-15	11:41	3.6893	3.9232	3.6672	3.946	
2018-11-15	08:53	3.7137	3.9492	3.6915	3.9721	
2018-11-15	11:47	3.7137	3.9492	3.6915	3.9721	
2018-12-12	12:06	3.7695	4.0084	3.7469	4.0317	
2018-12-12	08:45	3.7695	4.0084	3.7469	4.0317	
2018-12-17	08:52	3.7467	3.9842	3.7243	4.0074	
2018-12-17	11:40	3.7467	3.9842	3.7243	4.0074	
2019-01-15	11:42	3.7548	3.9928	3.7323	4.016	
2019-01-15	08:48	3.7548	3.9928	3.7323	4.016	
2019-01-16	11:49	3.7535	3.9914	3.731	4.0146	
2019-01-16	08:51	3.7535	3.9914	3.731	4.0146	
2019-02-15	11:37	3.7668	4.0056	3.7443	4.029	
2019-02-15	08:53	3.7668	4.0056	3.7443	4.029	
2019-03-15	08:55	3.7391	3.9761	3.7167	3.9993	
2019-03-15	11:38	3.7391	3.9761	3.7167	3.9993	
2019-04-15	11:41	3.7254	3.9616	3.7031	3.9847	
2019-04-15	08:52	3.7254	3.9616	3.7031	3.9847	
2019-04-16	08:47	3.7134	3.9488	3.6911	3.9717	
2019-04-16	11:39	3.7134	3.9488	3.6911	3.9717	
2019-05-15	08:43	3.7572	3.9954	3.7347	4.0187	
2019-05-15	11:39	3.7572	3.9954	3.7347	4.0187	
2019-05-16	11:45	3.752	3.9898	3.7295	4.013	
2019-05-16	08:46	3.752	3.9898	3.7295	4.013	
2019-06-17	12:49	3.7447	3.9821	3.7223	4.0053	
2019-06-17	08:48	3.7447	3.9821	3.7223	4.0053	
2019-07-15	12:01	3.794	4.0345	3.7713	4.058	
2019-07-15	08:47	3.794	4.0345	3.7713	4.058	
