Data	Otwarcie	Max	Min	Zamkniêcie
2009-09-26	2.7876	2.7901	2.7814	2.7822
2009-09-27	2.7824	2.8079	2.7706	2.7812
2009-09-28	2.7812	2.8094	2.7717	2.8022
2009-09-29	2.8020	2.8091	2.7673	2.7757
2009-09-30	2.7757	2.8234	2.7719	2.8224
2009-10-01	2.8224	2.8386	2.7938	2.8019
2009-10-03	2.8008	2.8014	2.7961	2.7970
2009-10-04	2.7969	2.7996	2.7729	2.7786
2009-10-05	2.7782	2.7795	2.7610	2.7707
2009-10-06	2.7708	2.7995	2.7616	2.7820
2009-10-07	2.7826	2.8049	2.7739	2.7916
2009-10-08	2.7916	2.8220	2.7898	2.8051
2009-10-10	2.8123	2.8198	2.8117	2.8180
2009-10-11	2.8182	2.8217	2.7805	2.7840
2009-10-12	2.7840	2.7957	2.7717	2.7830
2009-10-13	2.7830	2.7862	2.7637	2.7792
2009-10-14	2.7794	2.7932	2.7557	2.7613
2009-10-15	2.7616	2.7801	2.7585	2.7722
2009-10-17	2.7779	2.7792	2.7751	2.7762
2009-10-18	2.7763	2.7778	2.7492	2.7526
2009-10-19	2.7528	2.7650	2.7435	2.7546
2009-10-20	2.7545	2.7708	2.7445	2.7557
2009-10-21	2.7553	2.7764	2.7543	2.7609
2009-10-22	2.7607	2.7660	2.7552	2.7597
2009-10-24	2.7598	2.7623	2.7593	2.7616
2009-10-26	2.7613	2.7856	2.7550	2.7750
2009-10-27	2.7748	2.7977	2.7670	2.7872
2009-10-28	2.7874	2.8387	2.7843	2.8363
2009-10-29	2.8363	2.8376	2.7921	2.7982
2009-10-30	2.7982	2.8253	2.7917	2.8144
2009-11-01	2.8182	2.8275	2.8177	2.8272
2009-11-02	2.8271	2.8698	2.8110	2.8463
2009-11-03	2.8462	2.8579	2.8220	2.8229
2009-11-04	2.8230	2.8348	2.8041	2.8157
2009-11-05	2.8154	2.8295	2.8053	2.8161
2009-11-06	2.8161	2.8210	2.8011	2.8071
2009-11-08	2.8086	2.8092	2.8065	2.8065
2009-11-09	2.8067	2.8093	2.7724	2.7793
2009-11-10	2.7792	2.7885	2.7563	2.7656
2009-11-11	2.7656	2.7660	2.7280	2.7360
2009-11-12	2.7359	2.7526	2.7279	2.7348
2009-11-13	2.7348	2.7361	2.7142	2.7178
2009-11-15	2.7173	2.7190	2.7168	2.7183
2009-11-16	2.7182	2.7247	2.7028	2.7046
2009-11-17	2.7046	2.7203	2.7025	2.7064
